,Articulação,Campus,Curso,Instituição,Nível
466,['Integrado'],Arinos,Agropecuária,IFNMG,Técnico
467,['Integrado'],Arinos,Informática,IFNMG,Técnico
468,['Integrado'],Arinos,Meio Ambiente,IFNMG,Técnico
469,"['Concomitante', 'Subsequente']",Arinos,Administração,IFNMG,Técnico
470,"['Concomitante', 'Subsequente']",Arinos,Técnico,IFNMG,Técnico
471,['Bacharelado'],Arinos,Administração,IFNMG,Superior
472,['Bacharelado'],Arinos,Engenharia Agronômica,IFNMG,Superior
473,['Tecnologia'],Arinos,Gestão Ambiental,IFNMG,Superior
474,['Tecnologia'],Arinos,Produção de Grãos,IFNMG,Superior
475,['Bacharelado'],Arinos,Sistemas de Informação,IFNMG,Superior
476,['Integrado'],Diamantina,Informática,IFNMG,Técnico
477,['Integrado'],Diamantina,Meio Ambiente,IFNMG,Técnico
478,"['Concomitante', 'Subsequente']",Diamantina,Biotecnologia,IFNMG,Técnico
479,"['Concomitante', 'Subsequente']",Diamantina,Teatro,IFNMG,Técnico
480,['PROEJA'],Janaúba,Agente Comunitário de Saúde,IFNMG,Técnico (proeja)
481,['Integrado'],Janaúba,Vigilância de Saúde,IFNMG,Técnico
482,['Integrado'],Janaúba,Informática para Internet,IFNMG,Técnico
483,"['Concomitante', 'Subsequente']",Janaúba,Administração,IFNMG,Técnico
484,['PROEJA'],Januária,Comércio,IFNMG,Técnico (proeja)
485,['Integrado'],Januária,Agropecuária,IFNMG,Técnico
486,['Integrado'],Januária,Informática para Internet,IFNMG,Técnico
487,['Integrado'],Januária,Meio Ambiente,IFNMG,Técnico
488,"['Concomitante', 'Subsequente']",Januária,Edificações,IFNMG,Técnico
489,"['Concomitante', 'Subsequente']",Januária,Informática,IFNMG,Técnico
490,"['Concomitante', 'Subsequente']",Januária,Técnico,IFNMG,Técnico
491,['Bacharelado'],Januária,Administração,IFNMG,Superior
492,['Licenciatura'],Januária,Ciências Biológicas,IFNMG,Superior
493,['Bacharelado'],Januária,Engenharia Agrícola e Ambiental,IFNMG,Superior
494,['Bacharelado'],Januária,Engenharia Agronômica,IFNMG,Superior
495,['Bacharelado'],Januária,Engenharia Civil,IFNMG,Superior
496,['Bacharelado'],Januária,Sistemas de Informação,IFNMG,Superior
497,['Licenciatura'],Januária,Física,IFNMG,Superior
498,['Licenciatura'],Januária,Matemática,IFNMG,Superior
499,['Tecnologia'],Januária,Análise e Desenvolvimento de Sistemas,IFNMG,Superior
500,['Integrado'],Montes Claros,Informática,IFNMG,Técnico
501,['Integrado'],Montes Claros,Química,IFNMG,Técnico
502,['Subsequente'],Montes Claros,Eletrotécnica,IFNMG,Técnico
503,['Subsequente'],Montes Claros,Segurança do Trabalho,IFNMG,Técnico
504,['Subsequente'],Montes Claros,Edificações,IFNMG,Técnico
505,['Bacharelado'],Montes Claros,Ciências da Computação,IFNMG,Superior
506,['Bacharelado'],Montes Claros,Engenharia Elétrica,IFNMG,Superior
507,['Bacharelado'],Montes Claros,Engenharia Química,IFNMG,Superior
508,"['Integrado', 'Subsequente']",Pirapora,Edificações,IFNMG,Técnico
509,"['Integrado', 'Subsequente']",Pirapora,Informática,IFNMG,Técnico
510,['Integrado'],Pirapora,Vendas,IFNMG,Técnico
511,['Integrado'],Pirapora,Sistemas de Energia Renovável,IFNMG,Técnico
512,['Subsequente'],Pirapora,Administração,IFNMG,Técnico
513,['Subsequente'],Pirapora,Segurança do Trabalho,IFNMG,Técnico
514,['Subsequente'],Pirapora,Agente Comunitário de Saúde,IFNMG,Técnico
515,['Bacharelado'],Pirapora,Administração,IFNMG,Superior
516,['Bacharelado'],Pirapora,Engenharia Civil,IFNMG,Superior
517,['Bacharelado'],Pirapora,Sistemas de Informação,IFNMG,Superior
518,"['Concomitante', 'Subsequente']",Porteirinha,Informática para Internet,IFNMG,Técnico
519,"['Concomitante', 'Subsequente']",Porteirinha,Eletrotécnica,IFNMG,Técnico
520,['Bacharelado'],Porteirinha,Sistemas de Informação,IFNMG,Superior
521,['Integrado'],Salinas,Agroindústria,IFNMG,Técnico
522,['Integrado'],Salinas,Agropecuária,IFNMG,Técnico
523,['Integrado'],Salinas,Informática,IFNMG,Técnico
524,['Licenciatura'],Salinas,Ciências Biológicas,IFNMG,Superior
525,['Licenciatura'],Salinas,Matemática,IFNMG,Superior
526,['Licenciatura'],Salinas,Química,IFNMG,Superior
527,['Licenciatura'],Salinas,Física,IFNMG,Superior
528,['Licenciatura'],Salinas,Pedagogia,IFNMG,Superior
529,['Tecnologia'],Salinas,Produção de Cachaça,IFNMG,Superior
530,['Bacharelado'],Salinas,Medicina Veterinária,IFNMG,Superior
531,['Bacharelado'],Salinas,Engenharia Florestal,IFNMG,Superior
532,['Bacharelado'],Salinas,Engenharia de Alimentos,IFNMG,Superior
533,['Bacharelado'],Salinas,Sistemas de Informação,IFNMG,Superior
534,"['Concomitante', 'Subsequente']",Teófilo Otoni,Administração,IFNMG,Técnico
535,"['Concomitante', 'Subsequente']",Teófilo Otoni,Informática,IFNMG,Técnico
536,['Integrado'],Teófilo Otoni,Agropecuária,IFNMG,Técnico
537,['Tecnologia'],Teófilo Otoni,Análises e Desenvolvimento de Sistemas,IFNMG,Superior
538,['Integrado'],Araxás,Edificações,CEFET,Técnico
539,['Integrado'],Araxás,Eletrônica,CEFET,Técnico
540,['Integrado'],Araxás,Mecânica,CEFET,Técnico
541,['Integrado'],Araxás,Mineração,CEFET,Técnico
542,['Bacharelado'],Araxás,Engenharia de Automação,CEFET,Superior
543,['Bacharelado'],Araxás,Engenharia de Minas,CEFET,Superior
544,"['Integrado', 'Subsequente', 'Concomitante']",BH Câmpus I,Eletromecânica,CEFET,Técnico
545,['Integrado'],BH Câmpus I,Mecatrônica,CEFET,Técnico
546,"['Integrado', 'Subsequente']",BH Câmpus I,Meio Ambiente,CEFET,Técnico
547,['Integrado'],BH Câmpus I,Trânsito,CEFET,Técnico
548,['Bacharelado'],BH Câmpus I,Engenharia Ambiental,CEFET,Superior
549,['Bacharelado'],BH Câmpus I,Engenharia de Materiais,CEFET,Superior
550,['Bacharelado'],BH Câmpus I,Engenharia de Transporte,CEFET,Superior
551,['Bacharelado'],BH Câmpus I,Letras,CEFET,Superior
552,['Bacharelado'],BH Câmpus I,Química Tecnológica,CEFET,Superior
553,['Mestrado Profissional stricto sensu'],BH Câmpus I,Engenharia de Materiais,CEFET,Pós-Graduação
554,['Mestrado Profissional stricto sensu'],BH Câmpus I,Estudos de Linguagens,CEFET,Pós-Graduação
555,['Doutorado stricto sensu'],BH Câmpus I,Estudos de Linguagens,CEFET,Pós-Graduação
556,"['Integrado', 'Subsequente', 'Concomitante', 'PROEJA']",BH Câmpus II,Edificações,CEFET,Técnico
557,"['Integrado', 'Subsequente', 'Concomitante']",BH Câmpus II,Eletrônica,CEFET,Técnico
558,"['Integrado', 'Subsequente', 'Concomitante']",BH Câmpus II,Eletrotécnica,CEFET,Técnico
559,['Integrado'],BH Câmpus II,Equipamentos Biomédicos,CEFET,Técnico
560,['Integrado'],BH Câmpus II,Rede de Computadores,CEFET,Técnico
561,['Bacharelado'],BH Câmpus II,Administração,CEFET,Superior
562,['Bacharelado'],BH Câmpus II,Engenharia de Computação,CEFET,Superior
563,['Bacharelado'],BH Câmpus II,Engenharia Elétrica,CEFET,Superior
564,['Bacharelado'],BH Câmpus II,Engenharia Mecânica,CEFET,Superior
565,['Bacharelado'],BH Câmpus II,Engenharia de Produção Civil,CEFET,Superior
566,['Licenciatura'],BH Câmpus II,Programa de Formação Pedagógica de Docentes,CEFET,Superior
567,['Especialização lato sensu'],BH Câmpus II,Especialização Administração da Produção e Automação Industrial,CEFET,Pós-Graduação
568,['Especialização lato sensu'],BH Câmpus II,Banco de Dados,CEFET,Pós-Graduação
569,['Especialização lato sensu'],BH Câmpus II,Especialização,CEFET,Pós-Graduação
570,['Especialização lato sensu'],BH Câmpus II,Especialização,CEFET,Pós-Graduação
571,['Especialização lato sensu'],BH Câmpus II,Linguagem e Tecnologia,CEFET,Pós-Graduação
572,['Especialização lato sensu'],BH Câmpus II,Especialização,CEFET,Pós-Graduação
573,['Especialização lato sensu'],BH Câmpus II,Processamento de Materiais Metálicos,CEFET,Pós-Graduação
574,['Especialização lato sensu'],BH Câmpus II,Sistemas Eletrônicos e de Automação Industrial,CEFET,Pós-Graduação
575,['Especialização lato sensu'],BH Câmpus II,Tecnologias de Sistema de Informação,CEFET,Pós-Graduação
576,['Mestrado Profissional stricto sensu'],BH Câmpus II,Administração,CEFET,Pós-Graduação
577,['Mestrado Profissional stricto sensu'],BH Câmpus II,Engenharia Civil,CEFET,Pós-Graduação
578,['Mestrado Profissional stricto sensu'],BH Câmpus II,Engenharia Elétrica,CEFET,Pós-Graduação
579,['Mestrado Profissional stricto sensu'],BH Câmpus II,Engenharia de Energia,CEFET,Pós-Graduação
580,['Mestrado Profissional stricto sensu'],BH Câmpus II,Educação Tecnológica,CEFET,Pós-Graduação
581,['Mestrado Profissional stricto sensu'],BH Câmpus II,Modelagem Matemática e Computacional,CEFET,Pós-Graduação
582,['Mestrado Profissional stricto sensu'],BH Câmpus II,Mestrado Profissional,CEFET,Pós-Graduação
583,['Doutorado stricto sensu'],BH Câmpus II,Engenharia Civil,CEFET,Pós-Graduação
584,['Doutorado stricto sensu'],BH Câmpus II,Modelagem Matemática e Computacional,CEFET,Pós-Graduação
585,['Especialização lato sensu'],BH Câmpus VI,Transportes e Trânsito,CEFET,Pós-Graduação
586,['Mestrado Profissional stricto sensu'],BH Câmpus VI,Química,CEFET,Pós-Graduação
587,['EAD'],Contagem,Meio Ambiente,CEFET,Técnico
588,['EAD'],Contagem,Informática para Internet,CEFET,Técnico
589,['Integrado'],Contagem,Controle Ambiental,CEFET,Técnico
590,"['Integrado', 'EAD']",Contagem,Eletroeletrônica,CEFET,Técnico
591,['Integrado'],Contagem,Informática,CEFET,Técnico
592,['Especialização lato sensu'],Contagem,Engenharia Software,CEFET,Pós-Graduação
593,['Integrado'],Curvelo,Edificações,CEFET,Técnico
594,['Integrado'],Curvelo,Eletrotécnica,CEFET,Técnico
595,['Integrado'],Curvelo,Meio Ambiente,CEFET,Técnico
596,['Bacharelado'],Curvelo,Engenharia Civil,CEFET,Superior
597,"['Integrado', 'Subsequente', 'Concomitante']",Divinópolis,Eletromecânica,CEFET,Técnico
598,['Integrado'],Divinópolis,Informática,CEFET,Técnico
599,"['Subsequente', 'Concomitante']",Divinópolis,Informática para Internet,CEFET,Técnico
600,['Bacharelado'],Divinópolis,Design de Moda,CEFET,Superior
601,['Bacharelado'],Divinópolis,Engenharia de Computação,CEFET,Superior
602,['Bacharelado'],Divinópolis,Engenharia Mecatrônica,CEFET,Superior
603,['Especialização lato sensu'],Divinópolis,Sistemas e Dispositivos Mecatrônicos,CEFET,Pós-Graduação
604,['EAD'],Leopoldina,Meio Ambiente,CEFET,Técnico
605,['EAD'],Leopoldina,Informática para Internet,CEFET,Técnico
606,['EAD'],Leopoldina,Eletroeletrônica,CEFET,Técnico
607,"['Integrado', 'Subsequente', 'Concomitante']",Leopoldina,Eletromecânica,CEFET,Técnico
608,['Integrado'],Leopoldina,Eletrotécnica,CEFET,Técnico
609,['Integrado'],Leopoldina,Informática,CEFET,Técnico
610,['Bacharelado'],Leopoldina,Engenharia de Computação,CEFET,Superior
611,['Bacharelado'],Leopoldina,Engenharia de Controle e Automação,CEFET,Superior
612,['Especialização lato sensu'],Leopoldina,Internet das Coisas,CEFET,Pós-Graduação
613,['EAD'],Nepomuceno,Eletroeletrônica,CEFET,Técnico
614,['EAD'],Nepomuceno,Informática para Internet,CEFET,Técnico
615,['EAD'],Nepomuceno,Meio Ambiente,CEFET,Técnico
616,['Integrado'],Nepomuceno,Mecatrônica,CEFET,Técnico
617,['Integrado'],Nepomuceno,Rede de Computadores,CEFET,Técnico
618,['Bacharelado'],Nepomuceno,Engenharia Elétrica,CEFET,Superior
619,['EAD'],Timóteo,Eletroeletrônica,CEFET,Técnico
620,['EAD'],Timóteo,Informática para Internet,CEFET,Técnico
621,['EAD'],Timóteo,Meio Ambiente,CEFET,Técnico
622,['Integrado'],Timóteo,Informática,CEFET,Técnico
623,"['Concomitante', 'Subsequente']",Timóteo,Metalurgia,CEFET,Técnico
624,['Integrado'],Timóteo,Química,CEFET,Técnico
625,['Bacharelado'],Timóteo,Engenharia de Computação,CEFET,Superior
626,['EAD'],Varginha,Meio Ambiente,CEFET,Técnico
627,['EAD'],Varginha,Eletroeletrônica,CEFET,Técnico
628,['EAD'],Varginha,Informática para Internet,CEFET,Técnico
629,"['Integrado', 'Subsequente']",Varginha,Edificações,CEFET,Técnico
630,"['Integrado', 'Subsequente']",Varginha,Informática,CEFET,Técnico
631,"['Integrado', 'Subsequente']",Varginha,Mecatrônica,CEFET,Técnico
632,['Bacharelado'],Varginha,Engenharia Civil,CEFET,Superior
633,['Especialização lato sensu'],Varginha,Engenharia de Sistemas,CEFET,Pós-Graduação
634,['Especialização lato sensu'],Varginha,Engenharia de Processos Industriais Automatizados,CEFET,Pós-Graduação
635,['Especialização lato sensu'],Varginha,Desenvolvimento de Sistemas,CEFET,Pós-Graduação
